deg,width,T,func,sigma,trace_before,trace_after,trace_delta,top_eig_before,top_eig_after
1,14,40,2,0.0001,3088.835707279674,3487.459245879075,398.62353859940094,3349.810546875,3627.176513671875
1,14,40,2,1e-06,3088.8357024611087,3053.6108435915226,-35.224858869586114,3349.810546875,3311.173828125
1,14,40,2,1e-08,3088.8357217353687,3094.9836125959428,6.14789086057408,3349.810546875,3352.83251953125
1,14,40,3,0.0001,3478.8422668457033,4195.056531159774,716.2142643140705,2868.434814453125,3653.50146484375
1,14,40,3,1e-06,3478.842229003906,3515.4556494140625,36.61342041015632,2868.434814453125,2922.169921875
1,14,40,3,1e-08,3478.8422326660157,3474.1278527832033,-4.714379882812409,2868.434814453125,2864.50537109375
1,14,40,4,0.0001,3057.711478738224,3161.333359329789,103.62188059156506,2666.336669921875,2374.866943359375
1,14,40,4,1e-06,3057.7114913042856,2108.5606122698105,-949.1508790344751,2666.336669921875,2555.84228515625
1,14,40,4,1e-08,3057.7114805333754,3057.425839592429,-0.28564094094645043,2666.336669921875,2666.681884765625
1,20,20,0,0.0001,3958.588027388961,2116.400461930495,-1842.187565458466,2608.621337890625,1523.8515625
1,20,20,0,1e-06,3958.58805903682,3964.281087941137,5.693028904316634,2608.621337890625,2595.406005859375
1,20,20,0,1e-08,3958.588044343171,3964.386872468171,5.798828125,2608.621337890625,2610.609619140625
1,20,20,1,0.0001,4911.706112896954,3540.754821661747,-1370.9512912352075,3691.514404296875,3464.195068359375
1,20,20,1,1e-06,4911.7061219392,4791.551730685764,-120.15439125343619,3691.51416015625,3568.278564453125
1,20,20,1,1e-08,4911.706102724428,4904.070470739294,-7.635631985133841,3691.51416015625,3687.31396484375
1,20,20,2,0.0001,4382.580448545259,3719.7940881117333,-662.7863604335257,3218.43359375,3103.713623046875
1,20,20,2,1e-06,4382.580434864965,4062.7819895189864,-319.79844534597896,3218.43359375,3236.495361328125
1,20,20,2,1e-08,4382.5804653825435,4375.065515978583,-7.5149494039606,3218.43359375,3212.341552734375
1,20,20,3,0.0001,4157.381534048227,4375.548936533373,218.16740248514634,4020.003173828125,3319.666015625
1,20,20,3,1e-06,4157.381537804236,5007.995618547712,850.6140807434758,4020.003173828125,4152.41552734375
1,20,20,3,1e-08,4157.381528414213,4159.389306171124,2.0077777569113096,4020.003173828125,4019.89990234375
1,20,20,4,0.0001,4580.691076890477,3446.970514933268,-1133.7205619572092,3828.084228515625,3169.437255859375
1,20,20,4,1e-06,4580.691099922612,4530.832573656766,-49.858526265846194,3828.08349609375,3770.8427734375
1,20,20,4,1e-08,4580.691082648511,4573.870400482753,-6.820682165757717,3828.08349609375,3823.1376953125
1,20,40,0,0.0001,6089.616970923639,6572.39435450236,482.7773835787211,5539.0576171875,5557.740234375
1,20,40,0,1e-06,6089.616973876953,6267.430780319941,177.8138064429877,5539.05810546875,5334.12255859375
1,20,40,0,1e-08,6089.616967970325,6072.299461118637,-17.31750685168845,5539.05810546875,5516.4033203125
