deg,width,func,epoch,train_loss,val_loss,batch_size,lr,n_samples,func_val_test,time_elapsed,backend,top_eig,trace,top_eig_train,trace_train,stop_loss,ln_eps,ln,weight_norm,l,d,f,h,dropout,wd,N,sam,sam_rho,asam
5,20,0,58720,tensor(0.0561),tensor(0.0630),256,0.002,20000,tensor([2.7638]),921.832,nccl,2487.6884765625,3349.927011590255,2490.33056640625,3061.5534319196427,0.02,1e-05,False,24.998256412106887,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,75980,tensor(0.0484),tensor(0.0529),256,0.002,20000,tensor([2.8828]),1187.331,nccl,1506.1806640625,3481.610686577691,1380.427978515625,3485.8873974609373,0.02,1e-05,False,23.636654101145712,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58730,tensor(0.0582),tensor(0.0607),256,0.002,20000,tensor([2.7638]),921.988,nccl,2421.937744140625,3436.061391557966,2475.55029296875,3467.71750386556,0.02,1e-05,False,24.984881197350756,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,75990,tensor(0.0486),tensor(0.0534),256,0.002,20000,tensor([2.8828]),1187.486,nccl,1410.185302734375,2916.3364461263022,1391.6796875,2594.6128932909032,0.02,1e-05,False,23.61175229839164,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58740,tensor(0.0564),tensor(0.0585),256,0.002,20000,tensor([2.7638]),922.145,nccl,2455.543212890625,2806.6570991847825,2467.717529296875,3289.43849351671,0.02,1e-05,False,24.973613360939453,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76000,tensor(0.0512),tensor(0.0552),256,0.002,20000,tensor([2.8828]),1187.645,nccl,1531.4298095703125,3648.556370934775,1478.4449462890625,3361.1393315741357,0.02,1e-05,False,23.601773457306344,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58750,tensor(0.0582),tensor(0.0671),256,0.002,20000,tensor([2.7638]),922.298,nccl,2485.7734375,3516.0887954444215,2504.6220703125,3112.317680945763,0.02,1e-05,False,24.96532197751081,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76010,tensor(0.0484),tensor(0.0525),256,0.002,20000,tensor([2.8828]),1187.802,nccl,1389.44677734375,3527.4060974121094,1363.7882080078125,3355.6401428222657,0.02,1e-05,False,23.586238472863503,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58760,tensor(0.0629),tensor(0.0695),256,0.002,20000,tensor([2.7638]),922.454,nccl,2487.355712890625,3473.691746761924,2536.781005859375,3103.0786555363584,0.02,1e-05,False,24.990148957518056,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76020,tensor(0.0501),tensor(0.0539),256,0.002,20000,tensor([2.8828]),1187.956,nccl,1431.0574951171875,3542.996788611779,1394.48974609375,3341.086700439453,0.02,1e-05,False,23.5808529945028,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58770,tensor(0.0669),tensor(0.0729),256,0.002,20000,tensor([2.7638]),922.61,nccl,2483.33544921875,3384.7537841796875,2521.103515625,3654.553187216482,0.02,1e-05,False,24.988259938413364,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76030,tensor(0.0517),tensor(0.0562),256,0.002,20000,tensor([2.8828]),1188.111,nccl,1394.1778564453125,3020.683474892064,1358.1427001953125,3059.644343058268,0.02,1e-05,False,23.585588740549074,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58780,tensor(0.0573),tensor(0.0667),256,0.002,20000,tensor([2.7638]),922.769,nccl,2457.915771484375,2946.997417512487,2473.994384765625,4707.5555419921875,0.02,1e-05,False,24.964623385482973,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76040,tensor(0.0491),tensor(0.0536),256,0.002,20000,tensor([2.8828]),1188.267,nccl,1371.902099609375,3411.60366007487,1328.945068359375,2888.363058651195,0.02,1e-05,False,23.593599738543592,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58790,tensor(0.0600),tensor(0.0631),256,0.002,20000,tensor([2.7638]),922.924,nccl,2459.9697265625,3819.761678059896,2490.98095703125,3434.9731316817433,0.02,1e-05,False,24.92372673257209,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76050,tensor(0.0528),tensor(0.0580),256,0.002,20000,tensor([2.8828]),1188.421,nccl,1404.4171142578125,3438.4532470703125,1404.0928955078125,2673.557156808036,0.02,1e-05,False,23.6184905775756,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58800,tensor(0.0563),tensor(0.0635),256,0.002,20000,tensor([2.7638]),923.084,nccl,2456.775390625,2936.9439632531366,2486.181640625,3225.3824185458097,0.02,1e-05,False,24.9304968950031,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76060,tensor(0.0477),tensor(0.0525),256,0.002,20000,tensor([2.8828]),1188.575,nccl,1392.802490234375,3103.62204077936,1363.9515380859375,2496.5253031412763,0.02,1e-05,False,23.63483374148744,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58810,tensor(0.0603),tensor(0.0570),256,0.002,20000,tensor([2.7638]),923.24,nccl,2526.58349609375,3889.208002580915,2532.697265625,3018.834023611886,0.02,1e-05,False,24.93794840580285,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76070,tensor(0.0615),tensor(0.0675),256,0.002,20000,tensor([2.8828]),1188.73,nccl,1397.9503173828125,3167.9915380477905,1345.3680419921875,3057.18654296875,0.02,1e-05,False,23.672104778117784,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58820,tensor(0.0585),tensor(0.0644),256,0.002,20000,tensor([2.7638]),923.397,nccl,2466.24560546875,4755.142733487216,2486.580322265625,3958.9335638082252,0.02,1e-05,False,24.91110616507277,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76080,tensor(0.0502),tensor(0.0565),256,0.002,20000,tensor([2.8828]),1188.886,nccl,1291.1827392578125,3357.2068935296475,1267.218017578125,3023.779218885634,0.02,1e-05,False,23.698186824223104,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58830,tensor(0.0578),tensor(0.0600),256,0.002,20000,tensor([2.7638]),923.553,nccl,2472.43603515625,2869.992681402909,2503.325439453125,2981.5162653142756,0.02,1e-05,False,24.94679600060778,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76090,tensor(0.0481),tensor(0.0555),256,0.002,20000,tensor([2.8828]),1189.041,nccl,1370.28369140625,2997.4081827799478,1302.8983154296875,2652.0558512369794,0.02,1e-05,False,23.75166543709093,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58840,tensor(0.0576),tensor(0.0601),256,0.002,20000,tensor([2.7638]),923.713,nccl,2434.8349609375,3676.4624113859954,2433.41796875,2414.4469463641826,0.02,1e-05,False,24.92938668922472,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76100,tensor(0.0483),tensor(0.0514),256,0.002,20000,tensor([2.8828]),1189.195,nccl,1368.30908203125,2739.411376953125,1343.019775390625,2630.3156542096817,0.02,1e-05,False,23.81742837966798,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58850,tensor(0.0582),tensor(0.0578),256,0.002,20000,tensor([2.7638]),923.87,nccl,2463.32080078125,3741.5617065429688,2493.4677734375,3469.1685472714003,0.02,1e-05,False,24.939564570524016,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76110,tensor(0.0591),tensor(0.0606),256,0.002,20000,tensor([2.8828]),1189.347,nccl,1402.6263427734375,3570.8991964588995,1372.707763671875,3445.5047578357517,0.02,1e-05,False,23.860173515341483,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58860,tensor(0.0608),tensor(0.0695),256,0.002,20000,tensor([2.7638]),924.031,nccl,2460.70361328125,3510.8746382550494,2490.7119140625,3029.3043128704203,0.02,1e-05,False,24.954104751519314,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76120,tensor(0.0654),tensor(0.0710),256,0.002,20000,tensor([2.8828]),1189.503,nccl,1321.87109375,2575.3133166082976,1300.6090087890625,2922.7264306640627,0.02,1e-05,False,23.869108016190253,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58870,tensor(0.0568),tensor(0.0578),256,0.002,20000,tensor([2.7638]),924.188,nccl,2479.866943359375,4431.026470184326,2500.822265625,3388.414649963379,0.02,1e-05,False,24.94972886118049,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76130,tensor(0.0712),tensor(0.0730),256,0.002,20000,tensor([2.8828]),1189.66,nccl,1290.4742431640625,4334.92028012483,1259.203125,2772.754326605028,0.02,1e-05,False,23.895330305607654,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,0,58880,tensor(0.0598),tensor(0.0611),256,0.002,20000,tensor([2.7638]),924.342,nccl,2470.667724609375,3583.475175221761,2517.2236328125,3391.990909498565,0.02,1e-05,False,25.024677345832774,,30,128,1,0.1,0.0001,20,False,0.05,False
5,20,10,76140,tensor(0.0646),tensor(0.0660),256,0.002,20000,tensor([2.8828]),1189.817,nccl,1366.7869873046875,2106.4894205729165,1307.516357421875,2353.913638466283,0.02,1e-05,False,23.923415783584467,,30,128,1,0.1,0.0001,20,False,0.05,False
